/media/sunyu/OS1/suanli/collectionunzip/neos-3627168-kasai
obj                 |bestobj             |time                |
1003952.060         |1003952.060         |0.158               |INIT
1003640.010         |1003640.010         |0.240               |KS2
992562.530          |992562.530          |50.245              |KS2
991812.528          |991812.528          |100.253             |lns
990280.678          |990280.678          |200.263             |lns
990085.620          |990085.620          |352.280             |random
988585.620          |988585.620          |402.285             |lns
988585.620          |988585.620          |452.367             |lns2
988585.620          |988585.620          |552.497             |lns2
988585.620          |988585.620          |621.015             |lns2
988585.620          |988585.620          |629.456             |random
988585.620          |988585.620          |719.546             |lns2
988585.620          |988585.620          |926.617             |lns
total time : 1000.1079297065735
