/media/sunyu/OS1/suanli/collectionunzip/neos-4343293-stony
obj                 |bestobj             |time                |
54.870              |54.870              |50.104              |INIT
53.213              |53.213              |100.145             |KS2
47.213              |47.213              |150.183             |KS2
46.385              |46.385              |200.236             |lns
46.385              |46.385              |301.990             |random
46.385              |46.385              |580.285             |random
46.385              |46.385              |633.383             |random
46.385              |46.385              |829.513             |random
46.385              |46.385              |1000.154            |random
total time : 1000.1546382904053
