/media/sunyu/OS1/suanli/collectionunzip/neos-4954672-berkel
obj                 |bestobj             |time                |
11182960.000        |11182960.000        |0.017               |INIT
3762074.333         |3762074.333         |50.023              |KS2
2620793.000         |2620793.000         |100.029             |KS2
2620792.962         |2620792.962         |150.041             |lns
2620791.747         |2620791.747         |200.048             |lns
2620788.990         |2620788.990         |277.737             |lns
2620788.169         |2620788.169         |327.924             |lns
2620787.868         |2620787.868         |377.987             |lns
2620786.269         |2620786.269         |866.821             |lns
2620786.051         |2620786.051         |950.331             |lns
total time : 1000.2001776695251
