/media/sunyu/OS1/suanli/collectionunzip/neos-5093327-huahum
obj                 |bestobj             |time                |
8026.000            |8026.000            |4.150               |INIT
6878.000            |6878.000            |54.156              |KS2
6860.000            |6860.000            |147.147             |lns
6712.000            |6712.000            |149.776             |lns
6540.000            |6540.000            |241.949             |random
6540.000            |6540.000            |347.885             |random
6446.000            |6446.000            |397.890             |lns
6440.000            |6440.000            |464.860             |lns2
6410.000            |6410.000            |540.869             |random
6260.000            |6260.000            |650.004             |random
total time : 1000.0050778388977
