/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.025               |0.025               |5.359               |KS1
0.020               |0.020               |16.889              |KS2
0.018               |0.018               |35.345              |KS2
0.010               |0.010               |35.644              |KS2
0.010               |0.010               |35.766              |crossover
0.010               |0.010               |90.557              |random
0.009               |0.009               |149.629             |random
0.009               |0.009               |200.015             |random
0.009               |0.009               |292.110             |random
0.009               |0.009               |340.754             |random
0.009               |0.009               |431.800             |random
0.009               |0.009               |472.367             |random
total time : 1013.1604170799255
