/media/sunyu/OS1/suanli/collectionunzip/ns1690781
obj                 |bestobj             |time                |
-870.145            |-870.145            |50.159              |INIT
-902.077            |-902.077            |100.188             |KS2
-904.268            |-904.268            |150.213             |KS2
-905.812            |-905.812            |200.235             |KS2
-905.812            |-905.812            |250.263             |crossover
-906.493            |-906.493            |300.298             |lns
-909.723            |-909.723            |400.342             |lns
-918.684            |-918.684            |450.362             |lns
-919.989            |-919.989            |500.382             |lns
-920.324            |-920.324            |550.401             |lns
-922.493            |-922.493            |650.442             |lns
-922.613            |-922.613            |700.460             |lns
-922.613            |-922.613            |801.094             |random
-922.625            |-922.625            |901.135             |lns
total time : 1001.2860434055328
