/media/sunyu/OS1/suanli/collectionunzip/rmine15
obj                 |bestobj             |time                |
-291.168            |-291.168            |90.485              |INIT
-756.561            |-756.561            |140.862             |KS2
-1070.978           |-1070.978           |141.658             |KS2
-1296.485           |-1296.485           |143.749             |lns
-1678.722           |-1678.722           |160.421             |lns
-1756.136           |-1756.136           |168.878             |lns
-1921.621           |-1921.621           |197.487             |lns
-1921.795           |-1921.795           |234.768             |lns
-2013.166           |-2013.166           |268.546             |lns
-3332.124           |-3332.124           |317.582             |lns
-3385.378           |-3385.378           |333.035             |lns
-3408.553           |-3408.553           |383.256             |lns
-3433.920           |-3433.920           |433.482             |lns
-3449.142           |-3449.142           |483.706             |lns
-3452.727           |-3452.727           |533.931             |lns
-3454.431           |-3454.431           |584.160             |lns
-3457.305           |-3457.305           |634.386             |lns
-3457.622           |-3457.622           |684.611             |lns
-3458.055           |-3458.055           |734.842             |lns
-3459.496           |-3459.496           |1059.964            |random
total time : 1059.9658033847809
