/media/sunyu/OS1/suanli/collectionunzip/rocII-5-11
obj                 |bestobj             |time                |
-4.670              |-4.670              |8.943               |KS1
-4.670              |-4.670              |9.122               |KS2
-4.674              |-4.674              |9.390               |KS2
-5.666              |-5.666              |10.936              |lns
-5.672              |-5.672              |12.171              |lns
-5.674              |-5.674              |30.542              |lns
-5.682              |-5.682              |80.607              |lns
-5.685              |-5.685              |492.761             |lns2
-6.674              |-6.674              |542.942             |lns
-6.676              |-6.676              |593.002             |lns
-6.676              |-6.676              |632.487             |random
-6.676              |-6.676              |643.580             |random
-6.676              |-6.676              |722.457             |random
-6.676              |-6.676              |782.663             |random
total time : 1000.5050284862518
