/media/sunyu/OS1/suanli/collectionunzip/set3-16
obj                 |bestobj             |time                |
2921777.308         |2921777.308         |0.039               |INIT
168565.304          |168565.304          |50.053              |KS2
168251.173          |168251.173          |100.065             |KS2
160482.786          |160482.786          |150.083             |lns
152848.934          |152848.934          |250.105             |lns
152737.560          |152737.560          |300.115             |lns
146743.960          |146743.960          |350.125             |lns
146279.467          |146279.467          |418.016             |random
143306.151          |143306.151          |518.038             |lns
143306.151          |143306.151          |572.099             |random
143243.607          |143243.607          |659.043             |lns
143243.607          |143243.607          |710.107             |random
total time : 1000.1177294254303
