/media/sunyu/OS1/suanli/collectionunzip/sing5
obj                 |bestobj             |time                |
18955158.220        |18955158.220        |14.351              |INIT
18895193.177        |18895193.177        |65.731              |KS2
18875136.291        |18875136.291        |75.311              |lns
18871960.127        |18871960.127        |129.778             |lns
18791787.816        |18791787.816        |133.841             |lns
18791093.946        |18791093.946        |396.413             |lns2
18778837.488        |18778837.488        |476.357             |lns
18778498.814        |18778498.814        |493.756             |lns
18778446.301        |18778446.301        |762.870             |lns2
total time : 1126.2089004516602
