/media/sunyu/OS1/suanli/collectionunzip/supportcase41
obj                 |bestobj             |time                |
39.500              |39.500              |10.519              |KS1
39.333              |39.333              |13.706              |KS2
36.886              |36.886              |18.660              |KS2
35.322              |35.322              |38.338              |random
33.782              |33.782              |88.351              |lns
33.635              |33.635              |205.172             |lns2
33.462              |33.462              |305.711             |lns
32.954              |32.954              |355.727             |lns
32.880              |32.880              |637.030             |lns2
32.725              |32.725              |687.671             |lns
32.681              |32.681              |739.156             |lns2
32.681              |32.681              |740.919             |lns2
32.312              |32.312              |801.499             |lns2
32.218              |32.218              |852.343             |lns
32.034              |32.034              |902.358             |lns
total time : 1000.1273369789124
