/media/sunyu/OS1/suanli/collectionunzip/SET4_25
obj                 |bestobj             |time                |
2994828.963         |2994828.963         |0.059               |init
2182967.676         |2182967.676         |0.146               |KS2
1319891.902         |1319891.902         |1.985               |KS2
771308.188          |771308.188          |5.137               |KS2
757015.039          |757015.039          |6.721               |KS2
650753.146          |650753.146          |14.100              |lns
513260.523          |513260.523          |18.319              |lns
469576.327          |469576.327          |64.103              |lns
469436.943          |469436.943          |116.384             |lns
216581.533          |216581.533          |208.123             |lns
209591.596          |209591.596          |230.840             |lns
202492.358          |202492.358          |330.858             |lns
201241.185          |201241.185          |344.355             |random
201241.185          |201241.185          |378.775             |random
201241.175          |201241.175          |415.027             |lns
199923.262          |199923.262          |480.396             |lns
199693.284          |199693.284          |563.309             |lns
199693.284          |199693.284          |633.264             |random
198080.649          |198080.649          |756.550             |lns
total time : 999.7485637664795
