/media/sunyu/OS1/suanli/collectionunzip/a2c1s1
obj                 |bestobj             |time                |
20427.523           |20427.523           |0.539               |KS1
14909.259           |14909.259           |50.564              |KS2
14851.577           |14851.577           |91.437              |KS2
13530.633           |13530.633           |141.460             |KS2
13126.027           |13126.027           |191.480             |KS2
11479.954           |11479.954           |241.493             |KS2
11042.579           |11042.579           |291.517             |KS2
11039.179           |11039.179           |305.292             |crossover
10986.608           |10986.608           |337.069             |lns
10928.670           |10928.670           |360.408             |lns
10924.093           |10924.093           |378.496             |lns
10891.755           |10891.755           |417.486             |lns
10891.754           |10891.754           |705.517             |random
10891.754           |10891.754           |976.229             |random
total time : 1000.2495625019073
