/media/sunyu/OS1/suanli/collectionunzip/anonymous_42
obj                 |bestobj             |time                |
12233.280           |12233.280           |60.138              |KS1
12220.550           |12220.550           |63.899              |KS2
12220.550           |12220.550           |110.893             |KS2
12220.480           |12220.480           |134.788             |random
12220.480           |12220.480           |376.976             |lns2
12217.200           |12217.200           |421.166             |lns
12217.050           |12217.050           |468.367             |lns
12217.050           |12217.050           |489.162             |random
12138.800           |12138.800           |494.975             |lns
12138.620           |12138.620           |506.606             |lns
total time : 999.824010848999
