/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
58433660.129        |58433660.129        |172.637             |KS1
58310248.452        |58310248.452        |204.554             |KS2
58190705.105        |58190705.105        |239.925             |KS2
57858612.557        |57858612.557        |289.996             |KS2
57681291.190        |57681291.190        |303.596             |KS2
57681291.190        |57681291.190        |304.825             |crossover
57553845.198        |57553845.198        |404.955             |lns
57451031.252        |57451031.252        |550.459             |lns
57437786.475        |57437786.475        |721.301             |lns
57398553.440        |57398553.440        |838.438             |lns
57339371.774        |57339371.774        |958.707             |lns
57339371.774        |57339371.774        |998.338             |random
total time : 998.3384926319122
