/media/sunyu/OS1/suanli/collectionunzip/d20200
obj                 |bestobj             |time                |
12568.000           |12568.000           |50.037              |init
12360.000           |12360.000           |61.184              |KS2
12350.000           |12350.000           |67.370              |KS2
12347.000           |12347.000           |86.686              |KS2
12327.000           |12327.000           |105.213             |lns
12320.000           |12320.000           |267.274             |lns2
12308.000           |12308.000           |304.726             |lns
12306.000           |12306.000           |371.489             |lns2
12303.000           |12303.000           |428.123             |lns
12297.000           |12297.000           |584.906             |lns2
total time : 998.7767858505249
