/media/sunyu/OS1/suanli/collectionunzip/dc1l
obj                 |bestobj             |time                |
1975597.410         |1975597.410         |50.305              |init
1918318.690         |1918318.690         |100.756             |KS2
1862105.340         |1862105.340         |151.156             |KS2
1851579.420         |1851579.420         |201.444             |KS2
1849699.760         |1849699.760         |251.715             |KS2
1839660.970         |1839660.970         |302.272             |crossover
1826796.820         |1826796.820         |402.688             |lns
1826105.510         |1826105.510         |503.084             |lns
1824809.460         |1824809.460         |703.838             |lns
1824775.780         |1824775.780         |804.249             |lns
1824682.620         |1824682.620         |986.115             |lns
total time : 986.1157689094543
