/media/sunyu/OS1/suanli/collectionunzip/gmut-76-50
obj                 |bestobj             |time                |
-603198.661         |-603198.661         |0.573               |init
-6720800.041        |-6720800.041        |51.079              |KS2
-10141090.832       |-10141090.832       |101.513             |KS2
-13059266.419       |-13059266.419       |152.005             |KS2
-13063219.783       |-13063219.783       |152.863             |KS2
-13063219.783       |-13063219.783       |154.159             |crossover
-13408479.901       |-13408479.901       |164.562             |lns
-13790670.601       |-13790670.601       |263.297             |lns
-13794466.564       |-13794466.564       |365.218             |lns
-13926328.469       |-13926328.469       |465.929             |lns
-13999454.672       |-13999454.672       |566.715             |lns
-14029281.523       |-14029281.523       |667.436             |lns
-14041405.273       |-14041405.273       |767.993             |lns
-14053088.009       |-14053088.009       |868.551             |lns
-14063092.884       |-14063092.884       |974.043             |lns
-14063092.884       |-14063092.884       |1004.835            |random
total time : 1004.8390729427338
