/media/sunyu/OS1/suanli/collectionunzip/item_placement_9992
obj                 |bestobj             |time                |
908.872             |908.872             |0.073               |KS1
176.414             |176.414             |5.557               |KS2
18.949              |18.949              |13.615              |KS2
17.148              |17.148              |23.124              |KS2
17.128              |17.128              |25.809              |crossover
16.154              |16.154              |33.457              |lns
14.596              |14.596              |48.404              |lns2
13.723              |13.723              |145.707             |lns
13.376              |13.376              |168.002             |lns2
13.366              |13.366              |170.961             |random
12.492              |12.492              |186.528             |lns2
12.396              |12.396              |231.190             |lns2
11.704              |11.704              |258.073             |lns
11.704              |11.704              |263.699             |random
11.548              |11.548              |307.316             |random
11.325              |11.325              |339.944             |random
10.396              |10.396              |357.571             |lns2
10.302              |10.302              |999.950             |lns2
10.163              |10.163              |1000.058            |random
total time : 1000.0578639507294
