/media/sunyu/OS1/suanli/collectionunzip/ivu52
obj                 |bestobj             |time                |
16662.597           |16662.597           |51.199              |init
16303.035           |16303.035           |53.747              |KS2
14230.640           |14230.640           |77.346              |KS2
12908.761           |12908.761           |82.499              |KS2
12908.761           |12908.761           |84.692              |KS2
12845.103           |12845.103           |89.655              |KS2
12845.103           |12845.103           |92.630              |crossover
11516.111           |11516.111           |122.723             |lns
11005.066           |11005.066           |136.727             |lns
9691.206            |9691.206            |153.682             |lns
8493.452            |8493.452            |188.527             |lns
7433.358            |7433.358            |213.516             |lns
6311.827            |6311.827            |314.798             |lns
6311.750            |6311.750            |416.043             |lns
5911.790            |5911.790            |521.058             |lns
4747.607            |4747.607            |622.274             |lns
4710.287            |4710.287            |735.200             |lns
total time : 1278.7232811450958
