/media/sunyu/OS1/suanli/collectionunzip/liu
obj                 |bestobj             |time                |
1166.000            |1166.000            |50.009              |init
1150.000            |1150.000            |50.582              |lns
1142.000            |1142.000            |51.430              |lns
1140.000            |1140.000            |51.742              |lns
1128.000            |1128.000            |54.646              |lns2
1124.000            |1124.000            |67.601              |lns2
1114.000            |1114.000            |73.984              |lns
1114.000            |1114.000            |82.453              |random
1106.000            |1106.000            |110.220             |lns2
1104.000            |1104.000            |115.198             |lns
1102.000            |1102.000            |151.668             |lns2
total time : 999.9713187217712
