/media/sunyu/OS1/suanli/collectionunzip/milo-v13-4-3d-3-0
obj                 |bestobj             |time                |
480182.981          |480182.981          |2.460               |KS1
428805.113          |428805.113          |3.815               |KS2
391286.527          |391286.527          |8.859               |KS2
373367.941          |373367.941          |10.267              |KS2
330108.648          |330108.648          |11.907              |KS2
313134.550          |313134.550          |12.477              |KS2
303334.550          |303334.550          |14.858              |lns
293534.550          |293534.550          |351.905             |lns2
273934.550          |273934.550          |355.424             |lns
273934.550          |273934.550          |361.180             |random
273934.550          |273934.550          |396.931             |random
273934.550          |273934.550          |480.807             |random
total time : 1000.0759747028351
