/media/sunyu/OS1/suanli/collectionunzip/n3709
obj                 |bestobj             |time                |
1299086.000         |1299086.000         |50.038              |init
1297045.000         |1297045.000         |100.085             |KS2
1294676.000         |1294676.000         |150.140             |KS2
1293288.000         |1293288.000         |250.231             |KS2
1292837.000         |1292837.000         |300.288             |KS2
1289281.000         |1289281.000         |350.346             |KS2
1287822.000         |1287822.000         |355.311             |crossover
1287388.000         |1287388.000         |405.422             |lns
1285019.000         |1285019.000         |542.365             |lns
1284946.000         |1284946.000         |900.247             |random
1284514.000         |1284514.000         |976.718             |lns
total time : 1001.605719089508
