/media/sunyu/OS1/suanli/collectionunzip/neos-1445738
obj                 |bestobj             |time                |
-2483.000           |-2483.000           |0.095               |init
-3279.000           |-3279.000           |0.201               |KS2
-3583.000           |-3583.000           |0.312               |KS2
-4584.000           |-4584.000           |0.440               |KS2
-4815.000           |-4815.000           |0.583               |KS2
-5030.000           |-5030.000           |0.716               |KS2
-5458.000           |-5458.000           |1.244               |lns
-7447.000           |-7447.000           |2.818               |lns
-8983.000           |-8983.000           |4.885               |lns
-10208.000          |-10208.000          |5.138               |lns
-11858.000          |-11858.000          |6.770               |lns
total time : 999.4567115306854
