/media/sunyu/OS1/suanli/collectionunzip/neos-3072252-nete
obj                 |bestobj             |time                |
12381683.000        |12381683.000        |50.007              |init
11931630.000        |11931630.000        |53.621              |KS2
11911250.000        |11911250.000        |56.537              |KS2
11885280.000        |11885280.000        |58.827              |KS2
11883908.000        |11883908.000        |69.226              |random
11861730.000        |11861730.000        |73.439              |lns
11854151.000        |11854151.000        |76.508              |lns
11852169.000        |11852169.000        |80.380              |lns
11828255.000        |11828255.000        |116.017             |lns2
11826342.790        |11826342.790        |125.819             |random
11823728.000        |11823728.000        |212.214             |lns2
11821302.850        |11821302.850        |287.717             |random
11821302.680        |11821302.680        |294.918             |random
11820023.000        |11820023.000        |393.222             |random
11819165.000        |11819165.000        |399.200             |lns
11810242.000        |11810242.000        |412.336             |random
11810242.000        |11810242.000        |436.260             |random
11810242.000        |11810242.000        |449.203             |random
11810242.000        |11810242.000        |456.663             |random
11810242.000        |11810242.000        |465.193             |random
11809927.000        |11809927.000        |489.910             |random
11809927.000        |11809927.000        |519.688             |random
11809926.760        |11809926.760        |531.986             |random
11809112.780        |11809112.780        |722.324             |random
11807698.000        |11807698.000        |777.483             |random
11807698.000        |11807698.000        |800.001             |random
11807698.000        |11807698.000        |805.961             |random
11807697.780        |11807697.780        |869.306             |random
total time : 999.9866979122162
