/media/sunyu/OS1/suanli/collectionunzip/neos-3627168-kasai
obj                 |bestobj             |time                |
1013960.340         |1013960.340         |23.496              |KS1
1006325.400         |1006325.400         |29.803              |KS2
1005588.440         |1005588.440         |39.475              |KS2
1004731.390         |1004731.390         |49.279              |KS2
988848.820          |988848.820          |53.428              |KS2
988598.820          |988598.820          |53.907              |lns
988585.620          |988585.620          |55.972              |lns
988585.620          |988585.620          |57.434              |random
988585.620          |988585.620          |66.096              |random
988585.620          |988585.620          |88.641              |random
988585.620          |988585.620          |109.644             |random
988585.620          |988585.620          |195.961             |random
total time : 999.9415988922119
