/media/sunyu/OS1/suanli/collectionunzip/neos-3665875-lesum
obj                 |bestobj             |time                |
3976.320            |3976.320            |24.400              |KS1
3879.200            |3879.200            |24.781              |KS2
3724.430            |3724.430            |25.211              |KS2
3702.640            |3702.640            |26.278              |KS2
3702.640            |3702.640            |27.725              |random
3615.490            |3615.490            |48.145              |lns2
3531.150            |3531.150            |61.343              |lns
3531.150            |3531.150            |74.810              |random
3531.150            |3531.150            |898.652             |random
total time : 999.9008185863495
