/media/sunyu/OS1/suanli/collectionunzip/neos-3754480-nidda
obj                 |bestobj             |time                |
16574.975           |16574.975           |0.031               |KS1
15061.657           |15061.657           |2.345               |KS2
14434.027           |14434.027           |3.515               |KS2
13674.186           |13674.186           |5.370               |KS2
13338.928           |13338.928           |7.189               |KS2
13338.928           |13338.928           |8.065               |KS2
13059.277           |13059.277           |8.867               |crossover
12941.738           |12941.738           |9.072               |lns
12941.398           |12941.398           |10.095              |lns
12941.288           |12941.288           |12.469              |random
12941.288           |12941.288           |94.481              |random
total time : 1000.0690653324127
