/media/sunyu/OS1/suanli/collectionunzip/neos-5107597-kakapo
obj                 |bestobj             |time                |
27045.000           |27045.000           |8.438               |KS1
25929.000           |25929.000           |19.399              |KS2
25803.000           |25803.000           |29.949              |KS2
23814.000           |23814.000           |40.309              |KS2
23760.000           |23760.000           |49.374              |KS2
23760.000           |23760.000           |50.471              |crossover
23166.000           |23166.000           |68.508              |lns2
23094.000           |23094.000           |87.790              |lns
22887.000           |22887.000           |103.512             |lns
22734.000           |22734.000           |124.524             |lns2
22680.000           |22680.000           |158.396             |lns
22617.000           |22617.000           |196.081             |lns2
22203.000           |22203.000           |233.500             |random
22185.000           |22185.000           |241.292             |lns
20880.000           |20880.000           |255.102             |lns
20367.000           |20367.000           |266.062             |lns
19368.000           |19368.000           |279.285             |lns
18954.000           |18954.000           |289.460             |lns
18675.000           |18675.000           |302.133             |lns
18657.000           |18657.000           |308.913             |lns
18657.000           |18657.000           |344.622             |random
18432.000           |18432.000           |372.274             |lns2
18414.000           |18414.000           |422.638             |lns2
18414.000           |18414.000           |520.105             |random
total time : 999.6273005008698
