/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.016               |0.016               |63.668              |KS1
0.013               |0.013               |64.683              |KS2
0.012               |0.012               |65.905              |KS2
0.012               |0.012               |66.806              |KS2
0.011               |0.011               |67.516              |KS2
0.010               |0.010               |68.839              |KS2
0.010               |0.010               |69.108              |crossover
0.010               |0.010               |103.693             |random
0.010               |0.010               |178.811             |random
0.008               |0.008               |241.444             |random
0.008               |0.008               |310.447             |random
0.008               |0.008               |379.355             |random
0.008               |0.008               |709.652             |random
total time : 1007.5337979793549
