/media/sunyu/OS1/suanli/collectionunzip/ns1644855
obj                 |bestobj             |time                |
-479.000            |-479.000            |15.184              |KS1
-499.000            |-499.000            |65.492              |KS2
-507.333            |-507.333            |216.173             |KS2
-507.333            |-507.333            |266.418             |KS2
-543.333            |-543.333            |282.404             |lns
-587.000            |-587.000            |399.191             |lns
-667.000            |-667.000            |537.274             |lns
-824.000            |-824.000            |737.660             |lns
-936.000            |-936.000            |879.278             |lns
total time : 879.2784969806671
