/media/sunyu/OS1/suanli/collectionunzip/opm2-z8-s0
obj                 |bestobj             |time                |
0.000               |0.000               |0.126               |init
-1173.000           |-1173.000           |0.268               |KS2
-2441.000           |-2441.000           |0.412               |KS2
-3413.000           |-3413.000           |0.554               |KS2
-4571.000           |-4571.000           |0.700               |KS2
-5290.000           |-5290.000           |0.849               |KS2
-5548.000           |-5548.000           |1.156               |lns
-5739.000           |-5739.000           |1.299               |lns
-6219.000           |-6219.000           |1.571               |lns
-6527.000           |-6527.000           |1.700               |lns
-8667.000           |-8667.000           |1.986               |lns
-9890.000           |-9890.000           |2.139               |lns
-10502.000          |-10502.000          |2.442               |lns
-14005.000          |-14005.000          |10.011              |lns
-14082.000          |-14082.000          |49.096              |lns2
-14183.000          |-14183.000          |49.283              |random
-14235.000          |-14235.000          |56.500              |lns
-14259.000          |-14259.000          |76.218              |random
-14303.000          |-14303.000          |81.985              |lns
-14307.000          |-14307.000          |101.035             |lns2
-14332.000          |-14332.000          |101.198             |random
-14353.000          |-14353.000          |107.992             |lns
-14356.000          |-14356.000          |127.096             |lns2
-14372.000          |-14372.000          |135.067             |lns
-14394.000          |-14394.000          |213.353             |random
-14424.000          |-14424.000          |217.211             |lns
-14450.000          |-14450.000          |524.723             |lns2
-14472.000          |-14472.000          |531.568             |lns
-14478.000          |-14478.000          |609.699             |random
-14507.000          |-14507.000          |614.676             |lns
-14509.000          |-14509.000          |882.482             |random
-14562.000          |-14562.000          |887.872             |lns
total time : 1006.343834400177
