/media/sunyu/OS1/suanli/collectionunzip/rmine15
obj                 |bestobj             |time                |
0.000               |0.000               |1.087               |init
-254.644            |-254.644            |4.281               |KS2
-607.132            |-607.132            |54.563              |KS2
-607.368            |-607.368            |57.621              |KS2
-648.727            |-648.727            |60.453              |lns
-788.528            |-788.528            |62.818              |lns
-839.946            |-839.946            |64.284              |lns
-1014.134           |-1014.134           |67.074              |lns
-1228.874           |-1228.874           |70.420              |lns
-1309.989           |-1309.989           |110.307             |lns
-1495.945           |-1495.945           |199.401             |lns
total time : 199.40276312828064
