/media/sunyu/OS1/suanli/collectionunzip/set3-10
obj                 |bestobj             |time                |
3192430.341         |3192430.341         |0.058               |init
1161316.007         |1161316.007         |25.261              |KS2
740216.146          |740216.146          |27.021              |KS2
548093.311          |548093.311          |77.048              |KS2
367282.401          |367282.401          |127.077             |KS2
315919.094          |315919.094          |223.707             |lns
270995.450          |270995.450          |240.107             |lns
244256.544          |244256.544          |328.851             |lns
243305.817          |243305.817          |398.513             |lns
238953.851          |238953.851          |470.879             |lns2
233296.690          |233296.690          |558.938             |lns
219945.287          |219945.287          |658.964             |lns
219324.992          |219324.992          |712.572             |random
219305.879          |219305.879          |831.195             |random
214142.930          |214142.930          |909.704             |lns
total time : 999.9833943843842
