/media/sunyu/OS1/suanli/collectionunzip/shiftreg2-7
obj                 |bestobj             |time                |
13000224.500        |13000224.500        |0.135               |init
299.381             |299.381             |0.953               |KS2
296.248             |296.248             |4.994               |KS2
233.216             |233.216             |14.198              |KS2
230.997             |230.997             |14.637              |KS2
230.997             |230.997             |15.023              |crossover
230.624             |230.624             |41.729              |lns
230.624             |230.624             |130.663             |random
230.624             |230.624             |232.361             |random
230.624             |230.624             |316.874             |random
230.624             |230.624             |433.389             |random
230.624             |230.624             |581.135             |random
230.624             |230.624             |711.328             |random
230.624             |230.624             |944.006             |random
total time : 997.3623077869415
