/media/sunyu/OS1/suanli/collectionunzip/shipsched
obj                 |bestobj             |time                |
220113.000          |220113.000          |159.749             |KS1
187463.003          |187463.003          |183.375             |KS2
186126.000          |186126.000          |224.984             |KS2
182687.000          |182687.000          |259.085             |KS2
179477.000          |179477.000          |307.101             |KS2
179369.000          |179369.000          |316.505             |lns
176020.000          |176020.000          |326.209             |lns
168551.000          |168551.000          |411.740             |lns
165457.000          |165457.000          |479.091             |lns
160172.569          |160172.569          |576.115             |lns
158767.000          |158767.000          |663.267             |lns
157274.000          |157274.000          |742.857             |lns
157203.000          |157203.000          |808.157             |lns
155585.000          |155585.000          |955.599             |lns2
total time : 1011.6887488365173
