/media/sunyu/OS1/suanli/collectionunzip/sing326
obj                 |bestobj             |time                |
7799538.164         |7799538.164         |584.359             |KS1
7796811.530         |7796811.530         |634.804             |KS2
7789378.170         |7789378.170         |685.268             |KS2
7784887.772         |7784887.772         |696.690             |KS2
7783145.389         |7783145.389         |714.877             |KS2
7783145.389         |7783145.389         |715.750             |KS2
7783145.389         |7783145.389         |716.731             |crossover
7783145.379         |7783145.379         |734.641             |lns
7782486.330         |7782486.330         |804.272             |lns
7782476.361         |7782476.361         |863.516             |lns
total time : 1064.524384021759
