/media/sunyu/OS1/suanli/collectionunzip/supportcase25
obj                 |bestobj             |time                |
0.069               |0.069               |98.879              |KS1
0.069               |0.069               |148.896             |KS2
0.061               |0.061               |187.886             |KS2
0.057               |0.057               |237.920             |KS2
0.056               |0.056               |267.285             |KS2
0.056               |0.056               |350.043             |crossover
0.054               |0.054               |385.195             |lns
0.052               |0.052               |476.692             |lns
0.050               |0.050               |521.185             |lns
0.050               |0.050               |666.788             |random
0.050               |0.050               |810.612             |random
0.050               |0.050               |959.778             |random
total time : 1000.4657437801361
