/media/sunyu/OS1/suanli/collectionunzip/SET4_11
obj                 |bestobj             |time                |
2873112.864         |2873112.864         |0.141               |INIT
203649.859          |203649.859          |50.166              |KS2
86218.455           |86218.455           |100.190             |KS2
60487.731           |60487.731           |150.215             |KS2
60467.761           |60467.761           |200.235             |KS2
57849.335           |57849.335           |231.692             |crossover
57682.590           |57682.590           |236.691             |lns
56857.309           |56857.309           |241.699             |lns
43347.322           |43347.322           |311.209             |lns
39101.858           |39101.858           |322.572             |lns
33210.217           |33210.217           |418.999             |lns
31350.006           |31350.006           |524.014             |lns
29928.038           |29928.038           |586.175             |lns2
29802.067           |29802.067           |638.605             |lns
29517.088           |29517.088           |726.653             |lns
29147.453           |29147.453           |817.344             |lns
28780.009           |28780.009           |902.736             |lns
28518.638           |28518.638           |977.226             |lns
total time : 1000.4819791316986
