/media/sunyu/OS1/suanli/collectionunzip/a1c1s1
obj                 |bestobj             |time                |
18184.412           |18184.412           |0.508               |KS1
13437.038           |13437.038           |26.097              |KS2
12484.879           |12484.879           |68.788              |KS2
12484.879           |12484.879           |75.687              |KS2
12484.879           |12484.879           |102.423             |KS2
12331.025           |12331.025           |115.364             |lns
12297.943           |12297.943           |142.526             |lns
12141.703           |12141.703           |184.442             |lns
11796.915           |11796.915           |213.516             |lns
11769.764           |11769.764           |261.066             |random
11757.389           |11757.389           |356.865             |lns2
11718.394           |11718.394           |554.365             |lns
11718.394           |11718.394           |575.355             |random
11718.394           |11718.394           |598.325             |random
11689.138           |11689.138           |661.036             |random
11688.408           |11688.408           |769.974             |random
11688.408           |11688.408           |824.932             |random
11679.794           |11679.794           |864.086             |random
11679.794           |11679.794           |902.662             |random
11635.165           |11635.165           |946.973             |random
11632.075           |11632.075           |999.922             |random
total time : 999.9221925735474
