/media/sunyu/OS1/suanli/collectionunzip/anonymous_74
obj                 |bestobj             |time                |
311018.246          |311018.246          |0.975               |KS1
293414.529          |293414.529          |1.225               |KS2
293175.836          |293175.836          |1.773               |KS2
232665.939          |232665.939          |5.683               |KS2
192694.814          |192694.814          |6.319               |lns
142218.597          |142218.597          |7.100               |lns
142154.739          |142154.739          |7.963               |lns
125490.082          |125490.082          |35.619              |lns
125490.082          |125490.082          |53.149              |random
115289.915          |115289.915          |53.926              |lns
113957.152          |113957.152          |55.049              |lns
98453.067           |98453.067           |96.213              |lns
98453.027           |98453.027           |116.684             |lns
98437.723           |98437.723           |136.212             |random
97538.334           |97538.334           |137.276             |lns
95876.002           |95876.002           |144.715             |lns
95867.413           |95867.413           |148.241             |lns
95867.413           |95867.413           |156.166             |random
95830.802           |95830.802           |157.733             |lns2
76640.607           |76640.607           |199.852             |lns
75611.697           |75611.697           |230.553             |lns
75611.697           |75611.697           |252.733             |random
74273.725           |74273.725           |267.791             |lns
73887.834           |73887.834           |279.364             |lns
73887.834           |73887.834           |293.653             |random
73887.824           |73887.824           |304.725             |lns
72231.271           |72231.271           |421.314             |lns2
72231.261           |72231.261           |422.573             |lns
72231.261           |72231.261           |425.266             |random
72231.261           |72231.261           |434.166             |random
72231.261           |72231.261           |436.602             |random
68697.530           |68697.530           |440.696             |lns
68500.764           |68500.764           |442.873             |lns2
68288.562           |68288.562           |445.433             |lns
68241.138           |68241.138           |451.616             |lns
68201.435           |68201.435           |459.758             |lns2
68201.415           |68201.415           |484.680             |lns
68201.395           |68201.395           |488.422             |lns
68173.290           |68173.290           |492.248             |lns
60732.493           |60732.493           |525.843             |lns
57070.297           |57070.297           |543.985             |lns
57070.297           |57070.297           |559.445             |random
57070.297           |57070.297           |579.239             |random
57070.247           |57070.247           |611.505             |lns
57070.227           |57070.227           |640.803             |lns
57070.227           |57070.227           |662.454             |random
57030.594           |57030.594           |665.917             |lns
57030.594           |57030.594           |671.013             |random
57030.594           |57030.594           |691.762             |random
52013.753           |52013.753           |715.785             |lns
52013.753           |52013.753           |727.551             |random
52013.743           |52013.743           |735.364             |lns
52013.713           |52013.713           |742.150             |lns
51329.582           |51329.582           |749.963             |lns
51329.572           |51329.572           |775.343             |lns
51329.562           |51329.562           |795.425             |lns2
51329.562           |51329.562           |796.911             |random
51317.211           |51317.211           |807.230             |lns
51317.191           |51317.191           |830.061             |lns
51317.181           |51317.181           |937.542             |random
51317.181           |51317.181           |941.125             |random
51317.171           |51317.171           |957.847             |lns2
total time : 999.3096811771393
