/media/sunyu/OS1/suanli/collectionunzip/berlin_5_8_0
obj                 |bestobj             |time                |
76.000              |76.000              |0.096               |init
72.000              |72.000              |0.270               |KS2
71.000              |71.000              |0.345               |KS2
70.000              |70.000              |0.615               |KS2
69.000              |69.000              |1.858               |KS2
68.000              |68.000              |2.608               |random
67.000              |67.000              |6.246               |random
66.000              |66.000              |19.503              |random
65.000              |65.000              |46.075              |random
64.000              |64.000              |122.244             |random
63.000              |63.000              |181.539             |lns2
total time : 999.9569368362427
