/media/sunyu/OS1/suanli/collectionunzip/blp-ar98
obj                 |bestobj             |time                |
6511.095            |6511.095            |50.234              |init
6490.917            |6490.917            |52.330              |KS2
6433.268            |6433.268            |57.749              |KS2
6393.360            |6393.360            |67.169              |KS2
6357.303            |6357.303            |88.800              |KS2
6320.122            |6320.122            |94.853              |lns
6308.782            |6308.782            |102.116             |lns
6294.817            |6294.817            |125.768             |lns
6235.073            |6235.073            |169.021             |lns
6229.268            |6229.268            |177.927             |lns
6224.966            |6224.966            |651.535             |lns2
6224.878            |6224.878            |673.541             |lns
6218.106            |6218.106            |700.142             |lns2
6218.106            |6218.106            |774.351             |random
6218.106            |6218.106            |957.399             |random
total time : 998.850218296051
