/media/sunyu/OS1/suanli/collectionunzip/csched010
obj                 |bestobj             |time                |
482.000             |482.000             |50.133              |INIT
476.000             |476.000             |52.357              |KS2
464.000             |464.000             |62.093              |KS2
459.000             |459.000             |63.858              |KS2
457.000             |457.000             |64.248              |lns
456.000             |456.000             |64.648              |lns
454.000             |454.000             |68.972              |lns
451.000             |451.000             |74.387              |lns
450.000             |450.000             |79.583              |lns2
449.000             |449.000             |82.048              |lns
441.000             |441.000             |104.482             |random
438.000             |438.000             |119.518             |lns
437.000             |437.000             |136.946             |lns
436.000             |436.000             |141.251             |lns
436.000             |436.000             |146.968             |random
total time : 1000.0748066902161
