/media/sunyu/OS1/suanli/collectionunzip/gmut-76-40
obj                 |bestobj             |time                |
-14093989.128       |-14093989.128       |52.636              |INIT
-14106407.306       |-14106407.306       |77.740              |KS2
-14136105.049       |-14136105.049       |93.716              |KS2
-14146246.562       |-14146246.562       |113.182             |lns
-14148845.611       |-14148845.611       |145.921             |lns
-14148920.170       |-14148920.170       |170.611             |lns
-14150931.008       |-14150931.008       |199.704             |lns
-14151435.753       |-14151435.753       |219.439             |lns
-14151435.753       |-14151435.753       |270.273             |random
-14152318.843       |-14152318.843       |275.494             |lns
-14153839.716       |-14153839.716       |284.734             |lns
-14156726.485       |-14156726.485       |300.176             |lns
-14157096.008       |-14157096.008       |314.651             |lns
-14157096.008       |-14157096.008       |341.826             |random
-14159085.099       |-14159085.099       |345.837             |lns
-14159105.414       |-14159105.414       |348.740             |lns
-14160316.671       |-14160316.671       |368.675             |lns
-14160568.721       |-14160568.721       |393.620             |lns
-14161292.444       |-14161292.444       |404.202             |lns
-14161292.444       |-14161292.444       |450.944             |random
-14161444.154       |-14161444.154       |454.225             |lns
-14161912.888       |-14161912.888       |465.116             |lns
-14161928.065       |-14161928.065       |471.602             |lns
-14162208.325       |-14162208.325       |483.435             |lns
-14162273.926       |-14162273.926       |520.698             |lns2
-14162313.851       |-14162313.851       |522.687             |lns
-14162314.031       |-14162314.031       |524.665             |lns
-14162484.197       |-14162484.197       |527.836             |lns
-14162484.198       |-14162484.198       |569.771             |random
-14164339.485       |-14164339.485       |576.081             |lns
-14164730.227       |-14164730.227       |615.233             |lns
-14165050.353       |-14165050.353       |651.980             |lns
-14165196.818       |-14165196.818       |717.225             |lns
-14165423.664       |-14165423.664       |730.119             |lns
-14165423.826       |-14165423.826       |901.637             |random
total time : 1000.5072057247162
