/media/sunyu/OS1/suanli/collectionunzip/item_placement_9973
obj                 |bestobj             |time                |
909.024             |909.024             |0.058               |KS1
155.974             |155.974             |3.779               |KS2
22.130              |22.130              |10.110              |KS2
17.385              |17.385              |16.827              |KS2
17.382              |17.382              |22.794              |KS2
17.151              |17.151              |36.326              |lns2
16.537              |16.537              |81.785              |lns2
16.397              |16.397              |146.881             |lns2
16.045              |16.045              |159.306             |lns
13.315              |13.315              |166.952             |lns
13.300              |13.300              |174.485             |lns2
total time : 1000.3108639717102
