/media/sunyu/OS1/suanli/collectionunzip/liu
obj                 |bestobj             |time                |
4160.000            |4160.000            |50.047              |INIT
1756.000            |1756.000            |52.252              |KS2
1276.000            |1276.000            |60.149              |KS2
1258.000            |1258.000            |62.262              |lns
1228.000            |1228.000            |62.417              |lns
1222.000            |1222.000            |63.912              |lns
1208.000            |1208.000            |69.945              |lns2
1204.000            |1204.000            |82.017              |lns
1194.000            |1194.000            |82.477              |lns
1166.000            |1166.000            |85.159              |lns
1160.000            |1160.000            |95.995              |lns2
1158.000            |1158.000            |200.860             |random
1150.000            |1150.000            |202.584             |lns
1146.000            |1146.000            |207.564             |lns
1138.000            |1138.000            |209.706             |lns2
total time : 1000.096910238266
