/media/sunyu/OS1/suanli/collectionunzip/neos-1112782
obj                 |bestobj             |time                |
578974767805.109    |578974767805.109    |50.108              |INIT
574413037009.847    |574413037009.847    |62.843              |KS2
574194379793.307    |574194379793.307    |78.510              |lns
573593081484.114    |573593081484.114    |87.023              |lns
573052669669.558    |573052669669.558    |115.004             |lns2
572800944012.643    |572800944012.643    |169.710             |lns2
572769892800.486    |572769892800.486    |195.406             |lns2
572769892613.992    |572769892613.992    |227.579             |lns
572426587134.170    |572426587134.170    |265.769             |lns2
572398775500.723    |572398775500.723    |298.456             |lns2
572353618818.307    |572353618818.307    |379.178             |lns
572309875092.038    |572309875092.038    |442.451             |random
572309875092.037    |572309875092.037    |456.352             |random
572191535524.995    |572191535524.995    |567.317             |random
572015134058.934    |572015134058.934    |612.420             |lns2
total time : 1000.0146946907043
