/media/sunyu/OS1/suanli/collectionunzip/neos-2629914-sudost
obj                 |bestobj             |time                |
48588.000           |48588.000           |2.463               |KS1
48474.000           |48474.000           |8.546               |KS2
48428.000           |48428.000           |18.043              |KS2
48394.000           |48394.000           |68.064              |KS2
48378.000           |48378.000           |102.416             |KS2
48258.000           |48258.000           |134.105             |KS2
48236.000           |48236.000           |363.656             |random
48226.000           |48226.000           |552.622             |lns2
48224.000           |48224.000           |713.751             |random
total time : 1000.4223799705505
