/media/sunyu/OS1/suanli/collectionunzip/neos-3372571-onahau
obj                 |bestobj             |time                |
0.482               |0.482               |54.342              |KS1
0.457               |0.457               |154.486             |KS2
0.443               |0.443               |204.537             |KS2
0.439               |0.439               |323.292             |lns
0.438               |0.438               |454.380             |lns
0.431               |0.431               |485.133             |lns
0.425               |0.425               |529.991             |lns
0.425               |0.425               |666.462             |random
0.423               |0.423               |708.525             |random
0.423               |0.423               |749.037             |random
0.423               |0.423               |831.155             |random
total time : 988.2621424198151
