/media/sunyu/OS1/suanli/collectionunzip/neos-5076235-embley
obj                 |bestobj             |time                |
2688.000            |2688.000            |23.947              |KS1
2460.000            |2460.000            |35.505              |KS2
2452.000            |2452.000            |55.401              |KS2
2452.000            |2452.000            |63.502              |KS2
2428.000            |2428.000            |98.488              |KS2
2418.000            |2418.000            |120.457             |KS2
2418.000            |2418.000            |124.859             |crossover
2408.000            |2408.000            |174.963             |random
2406.000            |2406.000            |187.460             |lns
2398.000            |2398.000            |289.687             |lns
2398.000            |2398.000            |321.367             |random
2398.000            |2398.000            |360.943             |random
2396.000            |2396.000            |749.279             |lns2
2396.000            |2396.000            |837.661             |random
2388.000            |2388.000            |900.176             |lns2
2388.000            |2388.000            |969.239             |random
total time : 996.8125929832458
