/media/sunyu/OS1/suanli/collectionunzip/neos-5093327-huahum
obj                 |bestobj             |time                |
8236.000            |8236.000            |86.170              |KS1
7956.000            |7956.000            |89.685              |KS2
7530.000            |7530.000            |98.067              |KS2
7224.000            |7224.000            |130.963             |KS2
7196.000            |7196.000            |201.728             |random
7112.000            |7112.000            |230.069             |lns
7111.990            |7111.990            |362.537             |random
7111.990            |7111.990            |390.969             |random
7028.000            |7028.000            |577.124             |random
6768.000            |6768.000            |618.016             |lns
6706.000            |6706.000            |716.265             |random
6538.000            |6538.000            |725.824             |lns
6502.000            |6502.000            |863.014             |random
6462.000            |6462.000            |869.156             |lns
6462.000            |6462.000            |893.984             |random
6416.000            |6416.000            |920.898             |random
total time : 996.7271316051483
