/media/sunyu/OS1/suanli/collectionunzip/neos-5102383-irwell
obj                 |bestobj             |time                |
3524.000            |3524.000            |22.978              |KS1
2680.000            |2680.000            |58.322              |KS2
2444.000            |2444.000            |72.877              |KS2
2420.000            |2420.000            |87.345              |KS2
2332.000            |2332.000            |137.651             |KS2
2270.000            |2270.000            |188.063             |KS2
2264.000            |2264.000            |231.730             |KS2
2256.000            |2256.000            |264.680             |lns
2252.000            |2252.000            |290.334             |lns
2216.000            |2216.000            |305.959             |lns
total time : 996.490392446518
