/media/sunyu/OS1/suanli/collectionunzip/opm2-z8-s0
obj                 |bestobj             |time                |
-3868.000           |-3868.000           |30.591              |INIT
-5453.000           |-5453.000           |30.778              |KS2
-9226.000           |-9226.000           |30.984              |KS2
-10108.000          |-10108.000          |31.186              |KS2
-10140.000          |-10140.000          |31.405              |KS2
-10285.000          |-10285.000          |31.612              |KS2
-10862.000          |-10862.000          |32.071              |lns
-11930.000          |-11930.000          |32.891              |lns
-12320.000          |-12320.000          |33.127              |lns
-12535.000          |-12535.000          |33.702              |lns
-13740.000          |-13740.000          |36.589              |lns
-13768.000          |-13768.000          |39.318              |lns
-13835.000          |-13835.000          |42.781              |lns
-13840.000          |-13840.000          |60.014              |lns2
-13846.000          |-13846.000          |62.842              |lns
-13894.000          |-13894.000          |80.466              |lns2
-14083.000          |-14083.000          |83.865              |lns
-14129.000          |-14129.000          |138.589             |lns2
-14163.000          |-14163.000          |139.168             |random
-14188.000          |-14188.000          |143.519             |lns
-14229.000          |-14229.000          |161.594             |lns2
-14248.000          |-14248.000          |166.532             |lns
-14298.000          |-14298.000          |184.867             |lns2
-14308.000          |-14308.000          |187.539             |lns
-14310.000          |-14310.000          |222.474             |random
-14338.000          |-14338.000          |224.778             |lns
-14339.000          |-14339.000          |241.920             |lns2
-14341.000          |-14341.000          |244.973             |lns
-14377.000          |-14377.000          |299.591             |lns2
-14409.000          |-14409.000          |302.618             |lns
-14443.000          |-14443.000          |399.736             |random
-14455.000          |-14455.000          |402.175             |lns
-14520.000          |-14520.000          |419.946             |lns2
-14521.000          |-14521.000          |422.456             |lns
-14530.000          |-14530.000          |541.467             |lns2
-14542.000          |-14542.000          |543.905             |lns
-14550.000          |-14550.000          |577.917             |lns2
-14553.000          |-14553.000          |579.778             |lns
-14560.000          |-14560.000          |970.261             |lns2
-14573.000          |-14573.000          |972.109             |lns
total time : 1007.1071662902832
