/media/sunyu/OS1/suanli/collectionunzip/polygonpack3-15
obj                 |bestobj             |time                |
-34304302.268       |-34304302.268       |52.654              |INIT
-39375283.164       |-39375283.164       |103.058             |KS2
-45652315.609       |-45652315.609       |153.405             |KS2
-45652315.609       |-45652315.609       |203.741             |KS2
-45653098.470       |-45653098.470       |355.799             |lns
-45653947.593       |-45653947.593       |457.113             |lns
-45655725.613       |-45655725.613       |461.439             |lns
-45655727.433       |-45655727.433       |563.344             |lns
-45655727.433       |-45655727.433       |938.607             |random
total time : 1093.8832733631134
