/media/sunyu/OS1/suanli/collectionunzip/set3-10
obj                 |bestobj             |time                |
3192430.341         |3192430.341         |0.147               |INIT
496910.426          |496910.426          |50.170              |KS2
391615.594          |391615.594          |100.195             |KS2
360992.942          |360992.942          |150.221             |KS2
334552.207          |334552.207          |200.245             |KS2
291119.526          |291119.526          |250.274             |crossover
282041.329          |282041.329          |324.022             |lns
262217.016          |262217.016          |378.249             |lns
259209.339          |259209.339          |413.103             |random
253846.969          |253846.969          |434.729             |lns
245202.617          |245202.617          |519.662             |lns
233536.187          |233536.187          |610.487             |lns
230480.438          |230480.438          |678.879             |lns
226549.467          |226549.467          |833.754             |lns2
226549.467          |226549.467          |916.134             |lns2
212541.283          |212541.283          |1000.013            |lns
total time : 1000.0135416984558
