/media/sunyu/OS1/suanli/collectionunzip/shiftreg2-7
obj                 |bestobj             |time                |
52000084.543        |52000084.543        |4.108               |INIT
235.439             |235.439             |11.286              |KS2
230.624             |230.624             |61.324              |KS2
230.624             |230.624             |111.364             |KS2
230.624             |230.624             |131.952             |random
230.624             |230.624             |249.459             |random
230.624             |230.624             |578.534             |random
230.624             |230.624             |793.684             |random
230.624             |230.624             |968.446             |random
total time : 1000.5792186260223
