/media/sunyu/OS1/suanli/collectionunzip/shipsched
obj                 |bestobj             |time                |
233825.000          |233825.000          |62.311              |KS1
203233.000          |203233.000          |112.454             |KS2
198764.000          |198764.000          |212.683             |KS2
196917.000          |196917.000          |262.794             |KS2
195288.000          |195288.000          |268.396             |crossover
187707.000          |187707.000          |285.014             |lns
187221.000          |187221.000          |298.764             |lns
186605.000          |186605.000          |346.044             |lns
181463.000          |181463.000          |421.018             |lns
179522.000          |179522.000          |466.620             |lns
174924.000          |174924.000          |516.932             |lns
174686.000          |174686.000          |581.656             |lns
172713.000          |172713.000          |633.841             |lns
172075.000          |172075.000          |683.220             |lns
171522.000          |171522.000          |724.549             |lns
170861.000          |170861.000          |791.488             |lns
168727.000          |168727.000          |826.976             |lns
168623.000          |168623.000          |876.572             |lns
168621.000          |168621.000          |954.255             |lns2
total time : 1011.2319674491882
