/media/sunyu/OS1/suanli/collectionunzip/sing44
obj                 |bestobj             |time                |
9949574.243         |9949574.243         |215.124             |KS1
8153625.683         |8153625.683         |315.824             |KS2
8152710.711         |8152710.711         |323.954             |KS2
8152567.477         |8152567.477         |374.328             |KS2
8152478.390         |8152478.390         |425.541             |crossover
8150163.756         |8150163.756         |454.787             |lns
8150147.165         |8150147.165         |486.839             |lns
8149243.722         |8149243.722         |633.443             |lns
8149243.692         |8149243.692         |734.700             |lns
8149243.662         |8149243.662         |835.239             |lns
8149179.366         |8149179.366         |955.685             |lns
total time : 955.6873157024384
