/media/sunyu/OS1/suanli/collectionunzip/sp98ar
obj                 |bestobj             |time                |
546911487.520       |546911487.520       |50.137              |init
543476290.880       |543476290.880       |56.918              |KS2
535833345.280       |535833345.280       |76.719              |KS2
535798039.360       |535798039.360       |78.203              |KS2
535798039.360       |535798039.360       |78.568              |crossover
534294693.440       |534294693.440       |79.526              |lns
533693282.240       |533693282.240       |147.022             |random
532792981.280       |532792981.280       |157.770             |lns
532577952.000       |532577952.000       |181.432             |lns
532162855.840       |532162855.840       |186.366             |lns
532033400.800       |532033400.800       |385.715             |random
531620995.200       |531620995.200       |395.723             |lns
531491540.160       |531491540.160       |459.867             |lns2
531491540.160       |531491540.160       |496.487             |random
531167902.560       |531167902.560       |512.850             |lns
531167902.560       |531167902.560       |530.387             |random
531150249.600       |531150249.600       |660.595             |random
530860102.080       |530860102.080       |671.395             |lns
530748300.000       |530748300.000       |681.152             |lns
total time : 998.7251036167145
