/media/sunyu/OS1/suanli/collectionunzip/SET4_07
obj                 |bestobj             |time                |
3083586.411         |3083586.411         |0.167               |INIT
190613.286          |190613.286          |45.221              |KS2
184127.053          |184127.053          |95.236              |KS2
90142.507           |90142.507           |145.250             |KS2
77082.980           |77082.980           |195.264             |KS2
75945.607           |75945.607           |245.279             |KS2
75778.824           |75778.824           |247.322             |lns
75331.195           |75331.195           |250.717             |lns
72489.700           |72489.700           |299.468             |lns
72269.373           |72269.373           |314.706             |random
72149.918           |72149.918           |341.691             |lns
71742.472           |71742.472           |376.259             |lns
71697.242           |71697.242           |411.249             |lns
71398.606           |71398.606           |445.693             |lns2
70748.732           |70748.732           |456.343             |lns
69800.992           |69800.992           |470.638             |lns
69800.972           |69800.972           |501.254             |random
69800.972           |69800.972           |541.705             |random
69717.194           |69717.194           |665.318             |random
69717.124           |69717.124           |775.436             |lns2
total time : 1000.0085561275482
