/media/sunyu/OS1/suanli/collectionunzip/a2c1s1
obj                 |bestobj             |time                |
20427.523           |20427.523           |0.586               |KS1
13288.917           |13288.917           |50.601              |KS2
11998.250           |11998.250           |100.619             |KS2
11810.034           |11810.034           |150.635             |KS2
11438.819           |11438.819           |200.654             |KS2
11339.354           |11339.354           |207.539             |crossover
11267.287           |11267.287           |240.067             |lns
11187.429           |11187.429           |265.720             |lns
11154.812           |11154.812           |328.002             |lns
11095.049           |11095.049           |384.623             |lns
11092.439           |11092.439           |404.608             |lns
11065.282           |11065.282           |458.099             |lns
11061.611           |11061.611           |524.928             |lns
11061.611           |11061.611           |652.355             |random
11024.295           |11024.295           |762.241             |lns2
11015.801           |11015.801           |877.710             |lns2
11015.801           |11015.801           |1000.120            |random
total time : 1000.1203281879425
