/media/sunyu/OS1/suanli/collectionunzip/anonymous_61
obj                 |bestobj             |time                |
399195.995          |399195.995          |70.481              |INIT
332372.342          |332372.342          |120.611             |KS2
316799.211          |316799.211          |170.717             |KS2
260463.362          |260463.362          |220.840             |KS2
242447.349          |242447.349          |226.645             |KS2
240244.095          |240244.095          |245.638             |lns
239409.788          |239409.788          |303.533             |lns
220899.098          |220899.098          |363.444             |lns
218411.244          |218411.244          |429.750             |lns
218411.224          |218411.224          |474.343             |lns
216387.234          |216387.234          |574.491             |lns
196647.634          |196647.634          |680.452             |lns
173890.998          |173890.998          |780.579             |lns
173890.988          |173890.988          |880.714             |lns
171243.176          |171243.176          |980.819             |lns
total time : 1002.2490818500519
