/media/sunyu/OS1/suanli/collectionunzip/berlin_5_8_0
obj                 |bestobj             |time                |
78.000              |78.000              |6.746               |INIT
75.000              |75.000              |6.934               |KS2
73.000              |73.000              |7.120               |KS2
72.000              |72.000              |7.373               |lns
71.000              |71.000              |7.839               |random
70.000              |70.000              |8.440               |lns2
67.000              |67.000              |16.159              |lns
66.000              |66.000              |21.545              |lns
65.000              |65.000              |29.427              |random
64.000              |64.000              |61.660              |random
63.000              |63.000              |68.701              |lns
62.000              |62.000              |164.435             |random
total time : 1000.0039267539978
